time,categoryId,title,viewCount,url,channelTitle
2019-04-15T16:49:45.253138,10,Bilal Sonses & Bengü - İçimden Gelmiyor,3909991,hp_JK3oIR1I,netd müzik
2019-04-15T16:49:45.253138,27,Türkiye'nin tek komünist şehrinde Belediye Başkanıyla 1 Gün Geçirmek,1531776,KenK0at1en4,Ruhi Çenet Videoları
2019-04-15T16:49:45.253138,28,iPhone — Doğanlar. Alya P. 9 yaşında — Apple,1671483,EZRjf04FLCY,Apple Türkiye
2019-04-15T16:49:45.253138,23,Çok Güzel Hareketler 2 | 9.Bölüm (Tek Parça Full HD),323637,o9OpbDdHPKQ,Çok Güzel Hareketler Bunlar
2019-04-15T16:49:45.253138,22,"AZİM’İ YENİLEDİK, ENES BATUR’UN TEPKİSİ!",718076,2paSGAb1jJ4,Erbakan Malkoç
2019-04-15T16:49:45.253138,20,2019 Kış Mevsimi Finali - 1907 Fenerbahçe Espor ( FB ) vs Bahçeşehir SuperMassive ( SUP ) - VFŞL,545594,qYVmaxa7dM8,LoLespor
2019-04-15T16:49:45.253138,24,Hercai 6. Bölüm Fragmanı,1828410,AuSYEShzSHc,atv
2019-04-15T16:49:45.253138,10,Ekin Uzunlar - Yokluğunun Kefeni,1337130,U3uBHBAnx1c,Ekin Uzunlar
2019-04-15T16:49:45.253138,17,Teknik Direktörümüz Fatih Terim'in Derbi Sonrasında Yaptığı Açıklamalar,196829,7tHsBY2pN_M,Galatasaray
2019-04-15T16:49:45.253138,24,BTS: Boy with Luv (Live) - SNL,5333184,O4NB73HTlxI,Saturday Night Live
2019-04-15T16:49:45.253138,25,Mansur Yavaş Meclis Toplantısı 2'nci gün,66680,EgaXcNWX1os,Gazete Ne Haber
2019-04-15T16:49:45.253138,23,4 FARKLI YETİŞTİRME TARZI (Kızımız olsa sevgilisiyle eve çıkabilir mi? :Tartışmalı) : 3Y1T #51,417352,FuVThm0c6hQ,Chaby Han
2019-04-15T16:49:45.253138,22,SOKAKTA PARA DAĞITMAK (1 İP ATLAMA = 1 TL),2610348,J3aJa2j7oMM,Deli Mi Ne?
2019-04-15T16:49:45.253138,1,Mesut'tan RUS RULETİ - Arka Sokaklar 513. Bölüm,408606,uwfObqosyxw,Arka Sokaklar
2019-04-15T16:49:45.253138,10,Rauf - Hain (Official Video),429132,sVjgRxw1byI,Rauf
2019-04-15T16:49:45.253138,22,Mansur Yavaş'a Belediye Meclisi'nde büyük şok! | AKP ve MHP yönetime el koymak istedi |,368103,2fGlIf9mgo4,Bold Medya
2019-04-15T16:49:45.253138,1,Payitaht Abdülhamid 82. Bölüm (HD),563687,jSixwpTH1_c,Payitaht Abdülhamid
2019-04-15T16:49:45.253138,1,Diriliş Ertuğrul 144. Bölüm Tanıtım,2202800,Oy1aNFwEmHI,TRT Televizyon
2019-04-15T16:49:45.253138,24,Game of Thrones 8. Sezon 2. Bölüm Türkçe Fragman,44257,GRcJsF-aIIA,Baran Kose
2019-04-15T16:49:45.253138,1,İkimizin Yerine 220. Bölüm Fragmanı - 15 Nisan Pazartesi,317174,6opFzXGY420,Kanal 7 Dizileri
2019-04-15T16:49:45.253138,1,"Arka Sokaklar 513- Mesut, Selin için Rus ruleti oynadı!",427771,Yw4CZaOOn0A,Arka Sokaklar Hayranı
2019-04-15T16:49:45.253138,24,3 Boyutlu Hologramı Test Ettik + Ağ Fırlatıcı & Kesilmez Eldiven,382375,dhHKdxg_lWA,OHA diyorum!
2019-04-15T16:49:45.253138,25,Ankara Belediye Meclisi'nde gerginlik! Mansur Yavaş verdiği talimatı açıkladı,214376,DMT3PyXOyhM,Ulusal Kanal
2019-04-15T16:49:45.253138,17,(..) Beyaz Futbol 14 Nisan 2019 Kısım 1/4 - Beyaz TV,104682,95Zgy335lUM,Beyaz Futbol
2019-04-15T16:49:45.253138,22,"Pazar sabahı büyük operasyon! Dolar 3,50 olacak! Enflasyon inecek! Cari açık kapanacak!",146463,YbzmmbAoQqk,Avrasya Yatırım
2019-04-15T16:49:45.253138,24,Kadın 58. Bölüm 2. Fragmanı,359169,523dWSevrmo,Kadın
2019-04-15T16:49:45.253138,17,Liverpool - Chelsea (2-0) - Maç Özeti - Premier League 2018/19,34451,OmqYxt-iAno,S Sport
2019-04-15T16:49:45.253138,24,HOLOGRAMLI AKILLI BİLEKLİK? - MERAK EDİLEN O MEŞHUR BİLEKLİK!,586035,-dcHTqlRLjA,TAA
2019-04-15T16:49:45.253138,17,Fenerbahçe 1-1 Galatasaray l Erman Toroğlu Maç Sonu Yorumları l Takım Oyunu,93752,kd33QWJkb4U,Plus TV
2019-04-15T16:49:45.253138,24,Bir Aile Hikayesi 7. Bölüm Fragmanı,458428,HeZrGTFNNgU,Bir Aile Hikayesi
2019-04-15T16:49:45.253138,24,Zalim İstanbul 3. Bölüm Fragmanı - 2,1418055,ZnkfwBO5Aug,KanalD
2019-04-15T16:49:45.253138,22,Hercai 6.Bölüm Fragmanı Analizi | Reyyanı İstanbula Kaçırıyorlar,561554,RGL5KaTvX_w,The Muhtar
2019-04-15T16:49:45.253138,10,Motive - TRASH (Official Video),309078,D-OrjUGsVoA,MOB Entertainment
2019-04-15T16:49:45.253138,27,FALCON ROKETLERİ nasıl dikey olarak inebildi?,371389,WAIW0i4DW7g,Barış Özcan
2019-04-15T16:49:45.253138,24,"GÜLERSEN, KAYBEDERSİN! | S2E12 w/ KALT - Ozan Akyol, Erman Çağlar",460841,9x9nvz6uZnE,Post42
2019-04-15T16:49:45.253138,25,"Mevlüt Çavuşoğlu'ndan, Fransız parlamentere 1915 olayları tepkisi",422431,5T5a57VGo1o,Demirören Haber Ajansı
2019-04-15T16:49:45.253138,15,2 TANE KURT BOĞAN TÜRK ASLANI !! Efsane Olacak Bir Mücadele #kangal #malaklı #Anadoluçobanköpeği,242225,0MD534Y6uOU,Sinan Sağut TV
2019-04-15T16:49:45.253138,22,Mesut Süre İle İlişki Testi | #28 Elif Ceren & Fatih,93842,c0nP4arpEEI,Konumuz Ne TV
2019-04-15T16:49:45.253138,1,Kalk Gidelim 67. Bölüm Fragmanı,157164,D2V1zbjIUws,Kalk Gidelim
