time,categoryId,title,viewCount,url,channelTitle
2019-04-15T16:49:45.253138,24,DESAFIO PRODUTOS FEMININOS - consigo adivinhar?,935902,uD0160ieQMQ,Felipe Neto
2019-04-15T16:49:45.253138,24,MASTERCHEF BRASIL (14/04/2019) | PARTE 2 | EP 04 | TEMP 06,399276,MxT4zsS8yxY,MasterChef Brasil
2019-04-15T16:49:45.253138,24,ELE RIU DA CONDENAÇÃO? COM A PALAVRA DANILO GENTILI | LEDA NAGLE,249090,ryCvwR-eeWg,Leda Nagle
2019-04-15T16:49:45.253138,23,A GRAVIDEZ SURPRESA de Jennyfer!  | Os Roni | Estreia | Humor Multishow,190343,3p1UGk12-NM,Humor Multishow
2019-04-15T16:49:45.253138,24,Whindersson Nunes enfrenta depressão e pede socorro nas redes sociais,269729,rPTTt5l2VnM,Domingo Espetacular
2019-04-15T16:49:45.253138,22,FESTA SURPRESA ‹ EduKof ›,338576,71cP_XvQecY,AM3NlC
2019-04-15T16:49:45.253138,24,ÚLTIMO CASAL A FICAR LEVA O DINHEIRO TODO !!!,1213525,oRJlZZi-4OU,Invento na Hora
2019-04-15T16:49:45.253138,24,BOMBA! VAZAM OS PRIMEIROS 20 MINUTOS DE VINGADORES ULTIMATO,470768,BJNixc-mxjM,Ei Nerd
2019-04-15T16:49:45.253138,24,Eliana entrevista Carlinhos Maia - Parte 1 | Programa Eliana (14/04/19),327668,BvQb1jjnP20,Programa Eliana
2019-04-15T16:49:45.253138,24,Segredo da Vida | Deive Leonardo,205178,pvS2qRubpDI,Deive Leonardo
2019-04-15T16:49:45.253138,24,PONTO DE VISTA - PRIMEIRO BEIJO | PARAFERNALHA,382160,tfjbHj0nQ8U,Parafernalha
2019-04-15T16:49:45.253138,10,Marília Mendonça - OBRIGADO POR ESTRAGAR TUDO (Todos Os Cantos),1686418,ZXkagTSErdM,Marília Mendonça
2019-04-15T16:49:45.253138,24,OUVEM TUDO,342629,O9WC8AjOz7k,Porta dos Fundos
2019-04-15T16:49:45.253138,22,Game of Thrones | Season 8 Episode 2 | Preview (HBO),3983127,R6YCfVe4eR0,GameofThrones
2019-04-15T16:49:45.253138,22,TESOURO SELIC NA PRÁTICA: INVESTI 105 REAIS e já sei quanto vou ganhar acima da poupança,101235,F2E0ibZtCak,Me poupe!
2019-04-15T16:49:45.253138,23,CONVERSA FEMINISTA,54175,_fu5XWoekxE,Canal Hipocritas
2019-04-15T16:49:45.253138,23,Plantão do Chico: Ovo de Páscoa CARO!!!,95125,6vzPbvR02_E,Reclamação do Dia
2019-04-15T16:49:45.253138,25,Jornal da Manhã - Edição completa - 15/04/19,164795,z0NtMgDWw2g,Jovem Pan News
2019-04-15T16:49:45.253138,17,Vasco 0x2 Flamengo - Final do Carioca - Bastidores,108358,ndQ2fxskfE4,FLA TV
2019-04-15T16:49:45.253138,17,TIRADAS DE BOLA MILAGROSAS,62024,qL7dh4_6uys,Futebol 24 Horas
2019-04-15T16:49:45.253138,24,COMPREI O OVO MAIS CARO E O MAIS BARATO DO SUPERMERCADO !!!,336362,GAmHij6VHHw,Camila Loures
2019-04-15T16:49:45.253138,20,"WORLD WAR Z - O Início de Gameplay, Legendado em Português PT-BR!",352400,1vvLi4Pwjf4,BRKsEDU
2019-04-15T16:49:45.253138,24,UM DIA INTEIRO SÓ COMENDO COMIDAS AMARELAS,332005,8AH7kehZUcs,Thai e Biel
2019-04-15T16:49:45.253138,10,MC Magal - Do Lixo ao Luxo (GR6 Filmes) DJ Pedro,617526,Avu8wrNsLoU,GR6 EXPLODE
2019-04-15T16:49:45.253138,17,LOSC - Paris Saint-Germain ( 5-1 ) - Résumé - (LOSC - PARIS) / 2018-19,1064666,rIah9kxuZLc,Ligue 1 Conforama
2019-04-15T16:49:45.253138,22,Deus quer habitar em você - Minuto com Deus Animações,22241,91L88JDBcd8,Minuto Com Deus Animações
2019-04-15T16:49:45.253138,24,Catherynne e Guilherme | Fábrica de Casamentos - 13/04/19 - Parte 3,109971,VL9-9pLmcAw,Fábrica de Casamentos
2019-04-15T16:49:45.253138,17,Desafio da cama elástica - Desimpedidos x Ginga Street,397780,ftw8UfR56Eo,Desimpedidos
2019-04-15T16:49:45.253138,24,Fantástico: Isso a Globo Não Mostra | #13,153639,NVT-vsthzJY,Globo
2019-04-15T16:49:45.253138,24,ENCHEMOS NOSSA PISCINA INTEIRA COM MARSHMALLOW ( deu ruim! ),431098,7QVGGPjqmhg,Neagle
2019-04-15T16:49:45.253138,10,Boyzinho - Trip do Boyzinho | FitDance TV (Coreografia Oficial),37358,gGRv6VxtVSw,FitDance
2019-04-15T16:49:45.253138,29,❤️CORAÇÃO ABERTO❤️ SEMANA SANTA ✝️Segunda-feira 15/04/19,22418,B6TzxHCT6Nw,Pe Marcelo Rossi
2019-04-15T16:49:45.253138,23,CASAIS VICIADOS EM SERTANEJO 7,77230,J3NK9eZImbk,FelipePires
2019-04-15T16:49:45.253138,17,MUDANÇAS URGENTES | 3 REFORÇOS CHEGANDO | ÚLTIMAS NOVIDADES DO VASCO | Notícias do Vasco Da Gama,41788,vYZ7IclBC10,Mario Coelho Vasco
2019-04-15T16:49:45.253138,1,Coca-Cola | The Chase – Vingadores: Ultimato,956868,iRlzA_vp47A,Coca-Cola
2019-04-15T16:49:45.253138,17,"LIVE no canal ""Mauro Cezar"" no YouTube",117614,j2CMFW1aVLo,Mauro Cezar
2019-04-15T16:49:45.253138,17,São Paulo 0 x 0 Corinthians - 14/04/19 - Final do Paulistão,922518,HbHLe1_3Hzw,Jovem Pan Sports
2019-04-15T16:49:45.253138,24,BURACO NEGRO - TUDO SOBRE A PRIMEIRA FOTO !!,2723840,0UzT5MN3wlk,Você Sabia?
2019-04-15T16:49:45.253138,17,SÃO PAULO 0X0 CORINTHIANS - ANÁLISE E NOTAS,105672,5Q73CxkN0hE,BAROLO VÍDEOS
2019-04-15T16:49:45.253138,26,OVO DRAGÃO GAME OF THRONES | TODO MUNDO CONTRA O PAULO,124097,QR9EWG2hLvc,Danielle Noce
2019-04-15T16:49:45.253138,10,GAME OF THRONES - Tema de abertura (versão fingerstyle),122706,PodZolu9v30,Cifra Club
2019-04-15T16:49:45.253138,17,Grêmio e Internacional - Final do Gauchão 2019 - Grenal ao vivo - 14/04/2019 - Rádio Grenal,141348,6A8WLFwAuzA,Rádio Grenal
2019-04-15T16:49:45.253138,17,Abel diz por que pôs Arrascaeta e tirou Diego - veja coletiva do Flamengo após bater Vasco,206683,Vw70_0S-q8U,FOX Sports Brasil
